2017:07:21 00:00:01,Trip 2017
2017:07:21 17:00:00,Vienna
2017:07:22 14:00:00,Iceland
2017:07:22 16:00:00,Thingvellir
2017:07:22 20:00:00,Geysir
2017:07:22 20:55:00,Gulfoss
2017:07:23 00:01:00,Selfoss
2017:07:23 11:00:00,Seljalandsfoss
2017:07:23 17:00:00,Dyrholaey
2017:07:23 19:30:00,Reynisdranga
2017:07:23 22:00:00,Vik
2017:07:24 10:00:00,Skaftafellsjokull
2017:07:24 16:00:00,Jokullsalon
2017:07:24 22:00:00,Hofn
2017:07:25 10:00:00,Lagarfjolt
2017:07:25 14:00:00,Hengifoss
2017:07:25 16:00:00,Seyoisfjordur
2017:07:25 18:00:00,Neskaupstadur
2017:07:26 10:00:00,Dettifoss
2017:07:26 14:00:00,Asbyrgi
2017:07:26 17:00:00,Husavic
2017:07:27 09:00:00,Myvatn
2017:07:27 17:30:00,Godafoss
2017:07:27 20:00:00,Akureyri
2017:07:28 10:00:00,Skagafjordur
2017:07:29 09:00:00,Vatnsnes
2017:07:29 15:00:00,Grabrok
2017:07:29 17:30:00,Snaefellsnes
2017:07:30 20:00:00,Reykjavik
2017:07:31 16:00:00,Reykjanes
2017:07:31 23:59:00,Iceland
2017:08:01 13:00:00,Venice
2017:08:03 13:00:00,Toscany
2017:08:04 15:00:00,Firenze
2017:08:06 18:00:00,Rome
2017:08:09 22:00:00,Trip Home
2017:08:11 22:00:00,EndTrip
